"Año";"Periodo";"Total";"<1º quintil";"1º-2º quintil";"2º-3º quintil";"3º y 4º quintil";"4º< quintil"
"1997";"Año";"4,96";"9,25";"5,1";"2,19";"1,4";"0,9"
"2001";"Año";"5,62";"12,28";"7,44";"4,17";"3,16";"2,3"
"2003";"Año";"5,92";"13,47";"9,73";"5,56";"4,03";"2,78"
"2006";"Año";"6,01";"14,02";"10,24";"7,17";"4,04";"2,54"
"2011";"Año";"6,96";"12,5";"8,54";"6,72";"4,87";"3,55"
"2014";"Año";"6,82";"11,25";"8,05";"5,26";"4,4";"2,75"
"2017";"Año";"7,8";"11,99";"8,74";"7,18";"4,06";"4,46"
;;;;;;;
;;;;;;;
"Métrica":"Total"
"Fuente":"Ministerio de Sanidad"
"Clasificación":""
"Unidad":"%"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;
;;;;;;;
"Métrica":"<1º quintil"
"Fuente":"Ministerio de Sanidad"
"Clasificación":""
"Unidad":"%"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;
;;;;;;;
"Métrica":"1º-2º quintil"
"Fuente":"Ministerio de Sanidad"
"Clasificación":""
"Unidad":"%"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;
;;;;;;;
"Métrica":"2º-3º quintil"
"Fuente":"Ministerio de Sanidad"
"Clasificación":""
"Unidad":"%"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;
;;;;;;;
"Métrica":"3º y 4º quintil"
"Fuente":"Ministerio de Sanidad"
"Clasificación":""
"Unidad":"%"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;
;;;;;;;
"Métrica":"4º< quintil"
"Fuente":"Ministerio de Sanidad"
"Clasificación":""
"Unidad":"%"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;
;;;;;;;
"Url":"https://www.epdata.es/diabetes-espana-nivel-ingresos-hogar/fe6edda7-c9ea-4a07-b0fc-779cfe539bd2"
"Titulo":"Porcentaje de población con diabetes en España por nivel de ingresos del hogar"
"Subtitulo":""
